title,score,month,year,ranking,revenue,runtime,vote_count
Town & Country,3.7,4,2001,273,10372291,104,16
Gone in Sixty Seconds,6.1,6,2e3,274,237202299,118,1485
Gladiator,7.9,5,2e3,275,457640427,155,5439
Minority Report,7.1,6,2002,276,358372926,145,2608
Harry Potter and the Chamber of Secrets,7.4,11,2002,277,876688482,161,5815
Casino Royale,7.3,11,2006,278,599045960,144,3855
Planet of the Apes,5.6,7,2001,279,362211740,119,1243
Terminator 2: Judgment Day,7.7,7,1991,280,52e7,137,4185
Public Enemies,6.5,7,2009,281,214104620,140,1344
American Gangster,7.4,11,2007,282,266465037,157,1502
True Lies,6.8,7,1994,283,378882411,141,1116
The Taking of Pelham 1 2 3,6.2,6,2009,284,150166126,106,954
Little Fockers,5.4,12,2010,285,310650585,98,1060
The Other Guys,6.1,8,2010,286,170432927,107,1383
Eraser,5.6,6,1996,287,242295562,115,543
Django Unchained,7.8,12,2012,288,425368238,165,10099
The Hunchback of Notre Dame,6.8,6,1996,289,100138851,91,1129
The Emperor's New Groove,7.2,12,2e3,290,169327687,78,1490
The Expendables 2,6.1,8,2012,291,312573423,103,2896
National Treasure,6.4,11,2004,292,347451894,131,1926
Eragon,4.9,12,2006,293,249288105,104,967
Where the Wild Things Are,6.4,10,2009,294,100086793,101,572
Epic,6.4,5,2013,295,268426634,102,1121
The Tourist,6,12,2010,296,278731369,103,1699
End of Days,5.5,11,1999,297,211989043,121,482
Blood Diamond,7.3,12,2006,298,170877916,143,2281
The Wolf of Wall Street,7.9,12,2013,299,392000694,180,6571
Batman Forever,5.2,5,1995,300,336529144,121,1498
Starship Troopers,6.7,11,1997,301,121214377,129,1560
Cloud Atlas,6.6,10,2012,302,130482868,172,2977
Legend of the Guardians: The Owls of Ga'Hoole,6.5,7,2010,303,140073390,97,703
Catwoman,4.2,7,2004,304,82102379,104,808
Hercules,5.6,7,2014,305,2434e5,99,1680
Treasure Planet,7.2,11,2002,306,109578115,95,948
Land of the Lost,5.3,6,2009,307,68688831,102,381
The Expendables 3,6.1,8,2014,308,206172544,127,1795
Point Break,5.5,12,2015,309,133718711,114,783
Son of the Mask,3.6,2,2005,310,0,94,338
In the Heart of the Sea,6.5,11,2015,311,93820758,122,1276
The Adventures of Pluto Nash,4.4,8,2002,312,7103973,95,142
Green Zone,6.4,3,2010,313,94882889,115,717
The Peanuts Movie,6.5,11,2015,314,246233113,88,604
The Spanish Prisoner,7.1,9,1997,315,13835130,110,73
The Mummy Returns,6,4,2001,316,433013274,130,2206
Gangs of New York,7.1,12,2002,317,193772504,167,1910
The Flowers of War,7.1,12,2011,318,95311434,145,187
Surf's Up,5.9,6,2007,319,149044513,85,601
The Stepford Wives,5.4,6,2004,320,102e6,93,334
Black Hawk Down,7.2,12,2001,321,172989651,144,1811
The Campaign,5.6,8,2012,322,104907746,85,578
The Fifth Element,7.3,5,1997,323,263920180,126,3885
Sex and the City 2,5.4,5,2010,324,288347692,146,426
The Road to El Dorado,7,3,2e3,325,76432727,89,858
Ice Age: Continental Drift,6.2,6,2012,326,877244782,88,2672
Cinderella,6.7,3,2015,327,543514353,105,2374
The Lovely Bones,6.6,12,2009,328,93525586,136,1065
Finding Nemo,7.6,5,2003,329,940335536,100,6122
The Lord of the Rings: The Return of the King,8.1,12,2003,330,1118888979,201,8064
The Lord of the Rings: The Two Towers,8,12,2002,331,926287400,179,7487
Seventh Son,5.2,12,2014,332,114178613,102,957
Lara Croft: Tomb Raider,5.7,6,2001,333,274703340,100,2192
Transcendence,5.9,4,2014,334,103039258,119,2295
Jurassic Park III,5.7,7,2001,335,368780809,92,2077
Rise of the Planet of the Apes,7,8,2011,336,482860185,105,4347
The Spiderwick Chronicles,6.3,2,2008,337,162839667,95,572
A Good Day to Die Hard,5.2,2,2013,338,304654182,98,3493
The Alamo,5.8,4,2004,339,25819961,137,106
The Incredibles,7.4,11,2004,340,631442092,115,5152
Cutthroat Island,5.7,12,1995,341,10017322,119,136
Percy Jackson & the Olympians: The Lightning Thief,6,2,2010,342,226497209,118,2010
Men in Black,6.9,7,1997,343,589390539,98,4412
Toy Story 2,7.3,10,1999,344,497366869,92,3806
Unstoppable,6.3,11,2010,345,167805466,98,1165
Rush Hour 2,6.4,8,2001,346,347325802,90,1054
What Lies Beneath,6.3,7,2e3,347,155464351,130,488
Cloudy with a Chance of Meatballs,6.5,9,2009,348,242988466,90,1747
Ice Age: Dawn of the Dinosaurs,6.5,6,2009,349,886686817,94,2271
The Secret Life of Walter Mitty,7,12,2013,350,188133322,114,3144
Charlie's Angels,5.6,11,2e3,351,264105545,98,1232
The Departed,7.9,10,2006,352,289847354,151,4339
Mulan,7.6,6,1998,353,304320254,88,2008
Tropic Thunder,6.5,8,2008,354,188072649,107,1667
The Girl with the Dragon Tattoo,7.2,12,2011,355,232617430,158,2434
Die Hard: With a Vengeance,6.9,5,1995,356,366101666,128,2066
Sherlock Holmes,7,12,2009,357,524028679,128,5766
Ben-Hur,5.3,8,2016,358,94061311,125,621
Atlantis: The Lost Empire,6.7,6,2001,359,186053725,95,1224
Alvin and the Chipmunks: The Road Chip,5.8,12,2015,360,233755553,92,428
Valkyrie,6.7,12,2008,361,200276e3,121,1173
You Don't Mess with the Zohan,5.5,6,2008,362,201596308,113,1048
Pixels,5.6,7,2015,363,243637091,105,2513
A.I. Artificial Intelligence,6.8,6,2001,364,235926552,146,1974
The Haunted Mansion,5.2,11,2003,365,182290266,99,466
Contact,7.2,7,1997,366,171120329,150,1308
Hollow Man,5.6,8,2e3,367,190213455,112,634
The Interpreter,6.2,4,2005,368,162944923,128,392
Percy Jackson: Sea of Monsters,5.9,8,2013,369,174578751,106,1648
Lara Croft Tomb Raider: The Cradle of Life,5.5,7,2003,370,156505388,117,1418
Now You See Me 2,6.7,6,2016,371,334901337,129,3235
The Saint,5.9,4,1997,372,118063304,116,302
Spy Game,6.8,11,2001,373,143049560,126,579
Mission to Mars,5.7,3,2e3,374,60874615,114,369
Rio,6.5,4,2011,375,484635760,96,2166
Bicentennial Man,6.9,12,1999,376,937e5,131,963
Volcano,5.2,4,1997,377,0,104,376
The Devil's Own,5.9,3,1997,378,140807547,107,290
K-19: The Widowmaker,6.1,7,2002,379,35168966,138,264
Conan the Barbarian,6.6,4,1982,380,79114085,129,650
Cinderella Man,7.3,6,2005,381,108539911,144,616
The Nutcracker: The Untold Story,5.4,11,2010,382,16178959,110,50
Seabiscuit,6.7,7,2003,383,148336445,141,216
Twister,6.1,5,1996,384,494471524,113,950
Cast Away,7.5,12,2e3,385,429632142,143,3218
Happy Feet,5.9,11,2006,386,384335608,108,1410
The Bourne Supremacy,7.2,7,2004,387,288500217,108,2825
Air Force One,6.2,7,1997,388,315156409,124,840
Ocean's Eleven,7.2,12,2001,389,450717150,116,3783
The Three Musketeers,5.6,8,2011,390,132274484,110,924
Hotel Transylvania,6.8,9,2012,391,358375603,91,2566
Enchanted,6.6,11,2007,392,340487652,107,1449
Safe House,6.3,2,2012,393,208076205,115,1345
102 Dalmatians,5.1,10,2e3,394,183611771,100,313
Tower Heist,5.8,11,2011,395,152930623,104,932
The Holiday,6.7,12,2006,396,194168700,136,1225
Enemy of the State,6.7,11,1998,397,250649836,132,1240
It's Complicated,6.2,12,2009,398,219103655,121,360
Ocean's Thirteen,6.5,6,2007,399,311312624,122,1999
Open Season,6.1,9,2006,400,197309027,83,656
Divergent,6.9,3,2014,401,288747895,139,4663
Enemy at the Gates,7.2,3,2001,402,96976270,131,999
The Rundown,6.4,9,2003,403,80916492,104,514
Last Action Hero,6.1,6,1993,404,137298489,130,712
Memoirs of a Geisha,7.3,12,2005,405,162242962,145,652
The Fast and the Furious: Tokyo Drift,6.1,6,2006,406,158468292,104,1705
Arthur Christmas,6.7,2,2011,407,0,97,333
Meet Joe Black,6.9,11,1998,408,142940100,178,1147
Collateral Damage,5.5,2,2002,409,78382433,108,427
All That Jazz,7.3,12,1979,410,37823676,123,85
Mirror Mirror,5.5,3,2012,411,183018522,106,1114
Scott Pilgrim vs. the World,7.2,7,2010,412,47664559,112,2126
The Core,5.4,3,2003,413,74208267,136,516
Nutty Professor II: The Klumps,4.7,7,2e3,414,123307945,106,332
Scooby-Doo,5.4,6,2002,415,275650703,88,820
Dredd,6.6,9,2012,416,41037742,95,1940
Click,6,6,2006,417,237681299,107,2104
Creepshow,6.7,11,1982,418,21028755,120,226
Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,7,2010,419,112483764,82,119
Jumper,5.9,2,2008,420,222231186,88,1799
Hellboy II: The Golden Army,6.5,7,2008,421,160388063,120,1527
Zodiac,7.3,3,2007,422,84785914,157,2023
The 6th Day,5.7,11,2e3,423,96085477,123,595
Bruce Almighty,6.4,5,2003,424,484572835,101,3012
The Expendables,6,8,2010,425,274470394,103,2926
Mission: Impossible,6.7,5,1996,426,457696359,110,2631
The Hunger Games,6.9,3,2012,427,691210692,142,9455
The Hangover Part II,6.2,5,2011,428,254455986,102,3739
Batman Returns,6.6,6,1992,429,28e7,126,1673
Over the Hedge,6.3,4,2006,430,343397247,83,1074
Lilo & Stitch,7.1,6,2002,431,145771527,85,1314
Charlotte's Web,5.8,12,2006,432,144e6,97,288
Deep Impact,5.9,5,1998,433,140464664,120,855
RED 2,6.4,7,2013,434,0,116,1526
The Longest Yard,6.2,5,2005,435,190320568,113,785
Alvin and the Chipmunks: Chipwrecked,5.4,12,2011,436,342695435,87,484
Grown Ups 2,5.8,7,2013,437,246984278,100,1155
Get Smart,6,6,2008,438,230685453,110,1051
Something's Gotta Give,6.3,12,2003,439,266728738,128,410
Shutter Island,7.8,2,2010,440,294804195,138,6336
Four Christmases,5.3,11,2008,441,163733697,88,331
Robots,6,3,2005,442,260696994,91,1333
Face/Off,6.8,6,1997,443,245676146,138,1583
Bedtime Stories,5.9,12,2008,444,212874442,99,901
Road to Perdition,7.3,7,2002,445,181001478,117,1077
Just Go with It,6.3,2,2011,446,214918407,117,1543
Con Air,6.5,6,1997,447,224012234,115,1270
Eagle Eye,6.3,9,2008,448,178066569,118,1018
Cold Mountain,6.7,12,2003,449,173013509,154,533
The Book of Eli,6.6,1,2010,450,157107755,118,2164
Flubber,5.3,11,1997,451,177977226,93,695
The Haunting,5.2,7,1999,452,91188905,113,369
Space Jam,6.5,11,1996,453,2502e5,88,1288
The Pink Panther,5.6,1,2006,454,0,93,550
The Day the Earth Stood Still,5.2,12,2008,455,233093859,104,1043
Conspiracy Theory,6.5,8,1997,456,136982834,135,431
Fury,7.4,10,2014,457,211817906,135,3946
Six Days Seven Nights,5.6,6,1998,458,164e6,98,332
Yogi Bear,5.2,12,2010,459,201584141,80,220
Spirit: Stallion of the Cimarron,7.4,5,2002,460,122563539,83,831
Zookeeper,5.3,7,2011,461,169852759,102,498
Lost in Space,5,4,1998,462,136159423,130,388
The Manchurian Candidate,6.2,7,2004,463,96105964,129,393
Déjà Vu,8,4,1998,464,0,117,1
Hotel Transylvania 2,6.7,9,2015,465,473226958,89,1497
Fantasia 2000,7,12,1999,466,90874570,74,292
The Time Machine,5.8,3,2002,467,123729176,96,631
Mighty Joe Young,5.9,12,1998,468,0,114,208
Swordfish,6.1,6,2001,469,147080413,99,932
The Legend of Zorro,5.9,10,2005,470,142400065,129,893
What Dreams May Come,6.8,10,1998,471,71485043,113,577
Little Nicky,5.2,11,2e3,472,0,90,438
The Brothers Grimm,5.6,8,2005,473,105316267,118,818
Mars Attacks!,6.1,12,1996,474,101371017,106,1509
Evolution,6.4,9,2015,475,0,81,47
The Edge,6.7,9,1997,476,43312294,117,349
Surrogates,5.9,9,2009,477,122444772,89,1195
